Gabe Dunn
Sergio Leone
Eugenio Martín
Sergio Corbucci
Nacho Vigalondo
Raúl Ruiz
Carlos Reygadas
Francisco Lombardi
Arturo Ripstein
Luis Valdez
Maria Ripoll
David Trueba
Daniel Burman
Eliseo Subiela
Alfonso Arau
Lina Wertmüller
Rodrigo Bellott
Géla Babluani
Claudia Llosa
Luis Mandoki
Jorge Fons
Carlos Bolado
Rigoberto Castañeda
Ricardo de Montreuil
Fernando Bauluz
Félix Zurita
Guillermo Groizard
Alejandro Springall
Alfonso Pineda Ulloa
Rolando Díaz
Iván Dariel Ortiz
Gustavo Loza
Luis Estrada
Natalia Almada
Benjamin Eicher
Alex Ferrari
Ricardo Méndez Matta
Tony Estrada
Javier Fuentes-León
Alfredo Gurrola
Juan Fernando Pérez Gavilán
Demetrius Navarro
Carmen Marron
Roberto Gavaldón
Jimmy Navarro
Gabriela Tagliavini
Juan Carlos Valdivia
Enrique Gato
Fernando Lebrija
Lourdes Portillo
Francisco J. Lombardi
Rodrigo García Barcha
Ruy Guerra
Imanol Uribe
Lucrecia Martel
Felipe Cazals
Juan Carlos Tabío
Alejandro Bazzano
Ettore Scola
Carlos Carrera y Eduardo Maldonado
Ramón Salazar
Líber Falco
Luis Alberto Lamata
Manuel González Bello
Carlos Salces
Juan Fischer
F. Javier Gutiérrez
Fernando Méndez
Manuel Silos
David Pablos
Carlos Enrique Taboada
Benh Zeitlin
Icíar Bollaín
Jose Luis Ruiz
Enrique Dawi
Esteban Crespo
Agustí Villaronga
David Alcalde
Luis Alcoriza
Vicente Aranda
Adán Martín
Enrique Carreras
Luis Alcoriza and Janet Alcoriza
Andrés Wood
Alejandro Amenábar
Nilo Cano
Arturo Sotto Díaz
Ben Affleck
Eduardo Ortiz
Victor Warren
Roger S. Baum
Nicolas Lopez
Rodrigo Ortúzar Lynch
Guillermo Calderón
Silvio Caiozzi
Marta Rodríguez
Rodolfo Costa
Rodrigo Sepúlveda
Jorge Olguín
Álvaro Díaz
Andrés Brignardello
Andrés Waissbluth
Franco de Peña
Héctor Ríos
David Riker
Daniel Benmayor
Patricio Valladares
Antonio José Pontes
Daniel de la Vega
José Celestino Campusano
Albertina Carri
Ariel Winograd
Matías Lucchesi
Adolfo Aristarain
Cecilia Atán
Valeria Bertuccelli
Juan José Campanella
Sebastián Cordero
Carlos Galettini
Damián Szifrón
Héctor Babenco
Leticia Tonos
Salvador Calvo
Alfonso Cortés-Cavanillas
Víctor Erice
Félix Fernández de Castro
Ricardo Franco
Cristina García Rodero
José Gómez
Evaristo González
Pilar Palomero
Nuria Giménez Lorang
Carmen Grau
Carlos Gutiérrez Medrano
Francisco Hervé
Rosa García García
Arantxa Aguirre
Jose Antonio Alcala
Luz Alencastro
Francisco Ariza
Carlota Coronado
Maite Pérez Astorga
Alba Martín
Enrique García Medina
Raúl Medina Hernández
Álvaro Mendoza
Lluvia Mira
Nona Nonakis
Rubén Nsue
Chema de la Peña
Gerardo Pérez Valero
Juanjo Sáez
Juan Carlos Serrán
Ángel Alonso-Cc
Zhang Yimou
Chen Kaige
Feng Xiaogang
Jiang Wen
Zhangke Jia
John Woo
Tsui Hark
Stephen Chow
Ang Lee
Satyajit Ray
Raj Kapoor
Guru Dutt
Bimal Roy
Yash Chopra
Karan Johar
Mani Ratnam
Adoor Gopalakrishnan
Shyam Benegal
Anurag Kashyap
Akira Kurosawa
Yasujirō Ozu
Hayao Miyazaki
Kenji Mizoguchi
Takeshi Kitano
Hirokazu Kore-eda
Isao Takahata
Kiyoshi Kurosawa
Takashi Miike
Shunji Iwai
Bong Joon-ho
Park Chan-wook
Kim Ki-duk
Hong Sang-soo
Lee Chang-dong
Kim Jee-woon
Na Hong-jin
Kim Ki-young
Im Kwon-taek
Lee Byung-hun
Johnnie To
Andrew Lau
Fruit Chan
Gordon Chan
Abbas Kiarostami
Asghar Farhadi
Majid Majidi
Jafar Panahi
Dariush Mehrjui
Bahram Beyzai
Rakhshan Bani-Etemad
Samira Makhmalbaf
Sohrab Shahid Saless
Mohammad Rasoulof
Hou Hsiao-hsien
Edward Yang
Wei Te-sheng
Sylvia Chang
Wu Nien-jen
Lin Cheng-sheng
Chen Kuo-fu
Doze Niu
Tareque Masud
Ritwik Ghatak
Humayun Ahmed
Mostofa Sarwar Farooki
Abdullah Al Mamun
Sheikh Niamat Ali
Amjad Hossain
Zahir Raihan
Alamgir Kabir
Morshedul Islam
Garin Nugroho
Riri Riza
Joko Anwar
Usmar Ismail
Hanung Bramantyo
Mira Lesmana
Edwin
Teguh Karya
Warkop
Nia Dinata
Nuri Bilge Ceylan
Yılmaz Güney
Ferzan Özpetek
Fatih Akın
Semih Kaplanoğlu
Reha Erdem
Ömer Lütfi Akad
Zeki Demirkubuz
Derviş Zaim
Yesim Ustaoglu
Trần Anh Hùng
Đặng Nhật Minh
Nguyễn Khải Anh
Đoàn Minh Phượng
Lê Cung Bắc
Victor Vũ
Lý Minh Thắng
Nguyễn Quang Huy
Đoàn Thanh Tùng
Ngô Quang Hải
Lino Brocka
Ishmael Bernal
Erik Matti
Lav Diaz
Brillante Mendoza
Marilou Diaz-Abaya
Chito S. Roño
Peque Gallaga
Mike de Leon
Joyce Bernal
Yasmin Ahmad
U-Wei Haji Saari
Ho Yuhang
Amir Muhammad
Osman Ali
Dain Said
Afdlin Shauki
Jins Shamsudin
A. Razak Mohaideen
Aziz M. Osman
Wisit Sasanatieng
Pen-Ek Ratanaruang
Prachya Pinkaew
Nonzee Nimibutr
Ekachai Uekrongtham
Aditya Assarat
Tanit Jitnukul
Nontawat Numbenchapol
Chookiat Sakveerakul
Lester James Peries
Dharmasena Pathiraja
Vimukthi Jayasundara
Prasanna Vithanage
Sumitra Peries
Asoka Handagama
Dharmasiri Bandaranayake
Titus Thotawatte
Tissa Abeysekera
D. B. Nihalsinghe
Ali Khamraev
Yalkin Tuychiev
Bakhtiyar Khudojnazarov
Djamshed Usmonov
Ali Hamroyev
Saidjon M. Azimbaev
Adilkhan Yerzhanov
Bahrom Yo'ldoshev
Bako Sadykov
Umida Ahmedova
Nadine Labaki
Ziad Doueiri
Jean-Claude Codsi
Danielle Arbid
Georges Nasser
Jocelyne Saab
Jihane Chouaib
Chadi Abdel Salem
Philippe Aractingi
Hany Tamba
Darezhan Omirbayev
Rustem Abdrashev
Sergei Dvortsevoy
Emir Baigazin
Timur Bekmambetov
Amir Karakulov
Guka Omarova
Nariman Turebayev
Yermek Tursunov

Saifu Mulu
Xie Tian
Uisenma Borchu
Otgonbayar Chuluunbat
Byambasuren Davaa
Tsogtbayar Davaasuren
Byambajav Davaasuren
Tsogt Taij
Naranbaatar Purevdorj
Ganpurev Dagvan
Sergei Parajanov
Artavazd Peleshian
Henrik Malyan
Don Askarian
Davit Babayan
Hrach Keshishian
Ruben Kochar
Atom Egoyan
Robert Sahakyants
Rouben Mamoulian
Aktan Abdykalykov
Ernest Abdyjaparov
Nurbek Egen
Marat Alykulov
Talgat Asyrankulov
Azamat Alykulov
Melis Ubukeev
Askar Uzakbayev
Mirlan Abdykalykov
Kubat Kurmanbekov
Elia Suleiman
Hany Abu-Assad
Annemarie Jacir
Rashid Masharawi
Najwa Najjar
Tawfik Abu Wael
Michel Khleifi
Azza El-Hassan
Suha Arraf
Buthina Canaan Khoury
Tengiz Abuladze
Giorgi Shengelaia
Lana Gogoberidze
Eldar Shengelaia
Otar Iosseliani
Nana Jorjadze
Dito Tsintsadze
Levan Koguashvili
Zaza Urushadze
George Ovashvili
Nabil Maleh
Abdellatif Abdelhamid
Hala Alabdalla
Bassam Chekhes
Muhammad Malas
Ossama Mohammed
Kinda Hassan
Joud Said
Hatem Ali
Najdat Anzour
Naji Abu Nowar
Amin Matalqa
Mahmoud al Massad
Ahd Kamel
Nawaf Al-Janahi
Layali Bader
Yahya Alabdallah
Saleh Nass
Yazan Al Ghazzawi
Amal Al-Muftah
Ahmed Zain
AJ Al-Thani
Lucy Al-Mutawa
Sarah Al-Derham
A.J. Al-Thani
Khalid Al-Mahmoud
Mohammed Al Ibrahim
Nouf Al Sulaiti
Khalifa Al Muraikhi
Siddiq Barmak
Atiq Rahimi
Shahrbanoo Sadat
Roya Sadat
Latif Ahmadi
Salim Shaheen
Basir Seerat
Azizullah Haidari
Karim Fanous
Habib Shokuri
Hala Al-Saati
Bassam Al-Thawadi
Mohammed Al Khalif
Aflamnah
Mahmood Al Mahmood
Hisham AlZayani
Ahmed Al-Sharif
Abdul Rahman Al Madani
Abeer Arab
Mohammed BuAli
Yahya al-Wahaibi
Muzna Almusafer
Salim Al-Hinai
Nawal Albusaidi
Zakariya Al-Zadjali
Ahmed Al Hinai
Badr bin Ali Al Hinai
Maha Al Balushi
Abdullah Al-Zadjali
Asma Bint Shukr
Mehboob Khan
K. Balachander
Vishal Bhardwaj
Ramesh Sippy
Aditya Chopra
Sanjay Leela Bhansali
Rakeysh Omprakash Mehra
A.R. Murugadoss
SS Rajamouli
Gautham Menon
Anees Bazmee
Priyadarshan
Anand L. Rai
Imtiaz Ali
Anthony Chen
Boo Junfeng
Eric Khoo
Glen Goei
Jack Neo
K. Rajagopal
Kelvin Tong
Kirsten Tan
Royston Tan
Sandi Tan
Tan Pin Pin
Tay Bee Pin
Wee Li Lin
Yeo Siew Hua
Rithy Panh
Nawapol Thamrongrattanarit
Chhay Bora
Hồ Quang Minh
Lindsey Dryden
Doane Tulugaq Avery
"William ""Hawk"" Birdshead"
Edwin Carewe
Lyle Mitchell Corbine Jr.
Dustinn Craig
Sarah Eagle Heart
Joseph L. Erb
Chris Eyre
Donald Fixico
Hanay Geiogamah
Tom B.K. Goldtooth
Sterlin Harjo
Edgar Heap of Birds
Sky Hopinka
Patricia Loew
Phil Lucas
Billy Luther
Victor Masayesva Jr.
Robin Maxkii
Teresa Montoya
Myron Dewey
Sierra Teller Ornelas
Sandra Osawa
Jon Proudstar
Tracy Rector
Randy Redroad
Will Rogers
Bently Spang
Sara Tomko
Hulleah Tsinhnahjinnie
Richard Ray Whitman
Micah Wright
James Young Deer
Alice Sheppard
Werner Herzog
Jason DaSilva
Nina Gilden Seavey
Sean Baker
Justin Edgar
Erik Weihenmayer
Christine Sun Kim
