id,title,original_language,overview,poster_path,genre_ids,popularity,release_date,vote_average,vote_count
260476,Kate Bornstein Is a Queer & Pleasant Danger,en,"For decades, performance artist and writer Kate Bornstein has been exploding binaries and deconstructing gender. And, her own identity. Trans-dyke. Reluctant polyamorist. Sadomasochist. Recovering Scientologist. Pioneering Gender Outlaw. Kate Bornstein Is a Queer and Pleasant Danger, joins her on her latest tour capturing rollicking public performances and painful personal revelations as it bears witness to Kate as a trailblazing artist theorist activist who inhabits a space between male and female with wit, style, and astonishing candor. By turns meditative and playful, the film invites us on a thought provoking journey through Kate's world to seek answers to some of life's biggest questions.",/rkB25R5i8Jqa94HLEQ8iSXdOhE3.jpg,[99],1.154,2014-06-17,6.0,2
634025,The Whistle,en,"A 45 year old Latinx trans man returns to his birthplace - Albuquerque, New Mexico - in search for the origin of a secret lesbian code he learned when he identified as a teenage dyke in the 80s.",/x2UBHxUqFEUPHqqakfMyfqNsUfT.jpg,[],0.6,2019-06-21,1.0,1
428612,Strong Island,en,"Examining the violent death of the filmmaker’s brother and the judicial system that allowed his killer to go free, this documentary interrogates murderous fear and racialized perception, and re-imagines the wreckage in catastrophe’s wake, challenging us to change.",/waXERQjJdXz7iIGMlSrP8OGzSE8.jpg,[99],7.846,2017-01-23,6.335,86
417367,Boys On Film 15: Time & Tied,en,"Embark on a magical journey through time with Boys On Film 15: Time & Tied — featuring a brand new selection of sensational gay British short films that showcase some of the UK's best emerging talent. This compilation features nine complete films:  Lloyd Eyre-Morgan's ""Closets"" starring Tommy Knight and Ceallach Spellman; Brian Fairbairn & Karl Eccleston's ""Putting On The Dish"" starring Steve Wickenden and Neil Chinneck; Mitchell Marion's ""G O'Clock"" starring Marc Rovira Cenar and Phillip Weddell; Charlie Parham's ""Nightstand"" starring Nicholas Gleaves and Amrou Al-Kadhi; Simon Anderson's ""Morning Is Broken"" starring Matthew Tennyson, Nigel Allen and Jack Hawkins; Tom Frederic's ""Sauna The Dead: A Fairy Tale"" starring himself and Kumar Muniandy; Leon Lopez's ""CrossRoad"" starring Marc Rovira Cenar, Ashley Campbell, and Calum Ewan Cameron; Jake Graf's ""Dawn"" starring Nicole Gibson and Harry Rundle; and Kristen Bjorn's ""Trouser Bar"" starring Denholm Spurr, Scott Hunter, and Zac Renfree.",/vByY0vjcBY3fRVBAj9reeurrYcw.jpg,"[14, 35, 80, 18, 10749, 27]",1.641,2016-08-22,7.4,9
465646,Boys On Film 16: Possession,en,"Golden boys, teen lust, self-conscious dolls, chance encounters, a vengeful creature, holiday romance, hidden sexuality — Boys On Film celebrates it's (not so) sweet sixteen with an astonishing selection of the latest international gay short films.  Volume 16: Possession features ten complete films: Kai Stänicke's ""Golden"" with Christian Tesch and Maximilian Gehrlinger; Christopher Manning's ""Jamie"" starring Sebastian Christophers and Raphael Verrion; Kai Stänicke's ""B."" starring Susanne Bormann and Andreas Jähnert; Blake Mawson's ""PYOTR495"" starring Alex Ozerov; Charlie Francis's ""When A Man Loves A Woman"" starring Tommy Jay Brennan, Jemima Spence, and Diane Brooks Webster; Anthony Schatteman's ""Follow Me"" starring Ezra Fieremans and Maarten Ketels; Jake Graf's ""Chance"" starring 'ABS' and Clifford Hume; Andrew Keenan-Bolger's ""Sign"" starring John McGinty and Preston Sadleir; Oliver Mason's ""Away With Me"" starring Chris Polick and Lee Knight; and ""We Could Be Parents"" by Björn Elgerd.",/YKZUZimFkoZe0wFYRXZiF4XWDD.jpg,"[14, 10749, 18, 27, 35, 16]",1.624,2017-05-21,5.0,5
579614,Dusk,en,"Growing up in 1950s England in an intolerant and uninformed world, young Chris Winters struggles to fit into the gender roles dictated by wider society.",/iM5Mek9gUYrMXHWxMkB0pQ5brFe.jpg,"[18, 10749]",0.979,2017-04-28,6.8,4
881419,Edible,en,Secrets come to light when Celeste and her girlfriend Sara try an edible marijuana cookie.,/3skz3Vsva1ZLY5xwbtZwJbAT4ZI.jpg,[18],0.6,2020-09-18,0.0,0
881419,Edible,en,Secrets come to light when Celeste and her girlfriend Sara try an edible marijuana cookie.,/3skz3Vsva1ZLY5xwbtZwJbAT4ZI.jpg,[18],0.6,2020-09-18,0.0,0
552835,The Garden Left Behind,en,"Traces the relationship between Tina, a young Mexican trans woman, and Eliana, her grandmother, as they navigate Tina's transition and struggle to build a life for themselves as undocumented immigrants in New York City.",/wNGXT2aIiswaY9blHQwowWV8MXq.jpg,[18],6.671,2020-08-28,5.9,5
638757,Tell-By Date,en,"Ryan loves being a dad more than anything, but has never told his son that he’s transgender and not his biological father. As another Father’s Day passes, Ryan imposes a deadline or a ‘Tell-by Date,' but it’s easier set than done!",/7It3eu2uaZqPiFD9TajSdAwbFPc.jpg,"[35, 18]",0.6,2019-05-31,0.0,0
